uniqueid,thumbnail_count,visit_count,play_count,impression_count,event_count_avon_on,event_count_cilt,event_count_finished,event_count_makyaj,event_count_parfum,event_count_replay,event_count_siparis,first_thumbnail_at,last_thumbnail_at,first_visited_at,last_visited_at,first_played_at,last_played_at,first_impression_at,last_impression_at,first_received_at_avon_on,last_received_at_avon_on,first_received_at_cilt,last_received_at_cilt,first_received_at_finished,last_received_at_finished,first_received_at_makyaj,last_received_at_makyaj,first_received_at_parfum,last_received_at_parfum,first_received_at_replay,last_received_at_replay,first_received_at_siparis,last_received_at_siparis
70929316,1,,,,,,,,,,,2025-03-07 14:00:00,2025-03-07 14:00:00,,,,,,,,,,,,,,,,,,,,
33299260,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
33482609,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70256596,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
33424903,1,,,,,,,,,,,2025-03-07 12:00:00,2025-03-07 12:00:00,,,,,,,,,,,,,,,,,,,,
31993298,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
31229319,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
18765172,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70728242,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
32583181,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
23671129,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
14125550,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
28099561,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
30514146,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
33464125,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
12318659,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
1743687,1,,,,,,,,,,,2025-03-07 17:00:00,2025-03-07 17:00:00,,,,,,,,,,,,,,,,,,,,
28877512,1,,,,,,,,,,,2025-03-07 13:00:00,2025-03-07 13:00:00,,,,,,,,,,,,,,,,,,,,
16404132,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
29458266,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
25232517,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
5455492,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
33249582,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
21079254,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70908365,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70935728,1,,,,,,,,,,,2025-03-08 10:00:00,2025-03-08 10:00:00,,,,,,,,,,,,,,,,,,,,
33342268,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
4068509,1,,,,,,,,,,,2025-03-07 12:00:00,2025-03-07 12:00:00,,,,,,,,,,,,,,,,,,,,
33183249,1,,,,,,,,,,,2025-03-07 11:00:00,2025-03-07 11:00:00,,,,,,,,,,,,,,,,,,,,
20920538,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
1051000,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70953578,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
14681528,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
13866118,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70887943,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
70859442,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
14343383,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
70833995,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
13116131,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
26824366,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
2845238,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
32470507,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
21854666,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
31156762,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
33179283,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
7208653,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
30732188,1,,,,,,,,,,,2025-03-07 11:00:00,2025-03-07 11:00:00,,,,,,,,,,,,,,,,,,,,
70857772,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
31704520,1,,,,,,,,,,,2025-03-07 16:00:00,2025-03-07 16:00:00,,,,,,,,,,,,,,,,,,,,
1967566,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70870126,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70931782,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
8747268,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
30457086,1,,,,,,,,,,,2025-03-07 10:00:00,2025-03-07 10:00:00,,,,,,,,,,,,,,,,,,,,
16694045,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
32727018,1,,,,,,,,,,,2025-03-07 11:00:00,2025-03-07 11:00:00,,,,,,,,,,,,,,,,,,,,
70945678,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
25343115,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70841385,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
33552819,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70976194,1,,,,,,,,,,,2025-03-07 12:00:00,2025-03-07 12:00:00,,,,,,,,,,,,,,,,,,,,
17320355,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70767582,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70802094,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
70908779,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
19145534,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
15945989,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
28138969,1,,,,,,,,,,,2025-03-07 9:00:00,2025-03-07 9:00:00,,,,,,,,,,,,,,,,,,,,
